city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_103,0.678824701,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,missing,Pvt Ltd,>4,35.22476944,1
city_103,0.92,missing,Has relevent experience,no_enrollment,Graduate,STEM,missing,missing,missing,missing,17.53379213,1
city_103,0.92,missing,Has relevent experience,no_enrollment,Graduate,STEM,14,missing,missing,>4,140,1
city_21,0.624,missing,No relevent experience,no_enrollment,Masters,STEM,2,missing,missing,never,14,1
city_21,0.617642867,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,Oct-49,missing,>4,6.171814414,1
city_65,0.802,missing,Has relevent experience,Full time course,Graduate,STEM,4,missing,missing,1,129,0
city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,4,76,0
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,3,5,0
city_104,0.924,Male,No relevent experience,Full time course,Masters,STEM,>20,500-999,NGO,2,24,0
city_103,0.911320338,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,missing,missing,1,120.7667324,1
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,1000-4999,Pvt Ltd,>4,15,0
city_100,0.88914022,Male,Has relevent experience,no_enrollment,Masters,STEM,19,missing,Pvt Ltd,1,109.7072527,1
city_138,0.836,missing,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,8,0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,34,0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,15,missing,NGO,2,63,0
city_101,0.558,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,<10,Pvt Ltd,>4,68,1
city_28,0.939,Male,Has relevent experience,Part time course,Graduate,STEM,2,1000-4999,Pvt Ltd,1,37,0
city_103,0.92,missing,No relevent experience,Part time course,Masters,Humanities,10,missing,missing,2,106,0
city_71,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,17,50-99,Funded Startup,1,6,0
city_83,0.923,missing,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,never,326,0
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,38,0
city_57,0.866,Male,No relevent experience,Full time course,Graduate,STEM,8,missing,missing,never,111,0
city_142,0.727,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,missing,missing,1,88,1
city_136,0.897,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,500-999,Pvt Ltd,4,25,0
city_11,0.55,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,1,194,0
city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,NGO,>4,37,0
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,Funded Startup,>4,42,0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,missing,missing,>4,70,0
city_160,0.92,Male,No relevent experience,Full time course,Graduate,STEM,5,1000-4999,Pvt Ltd,1,9,0
city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,2,missing,missing,never,44,1
city_103,0.791231296,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,missing,missing,2,90.80344912,1
city_21,0.624,missing,Has relevent experience,Full time course,Graduate,STEM,3,50-99,Pvt Ltd,1,80,1
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,<1,Oct-49,Pvt Ltd,2,15.76396753,1
city_21,0.624,Female,Has relevent experience,Full time course,Graduate,STEM,3,50-99,Pvt Ltd,1,15,1
city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,1000-4999,Pvt Ltd,1,47,0
city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,Arts,10,10000+,Public Sector,1,34,0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,missing,missing,>4,25,0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,missing,missing,1,63.05985626,1
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,missing,Public Sector,1,119.3632646,1
city_103,0.77501587,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,missing,missing,1,16.702188,1
city_21,0.642660814,Male,No relevent experience,Full time course,Graduate,STEM,<1,missing,missing,1,8.344295456,1
city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,Humanities,1,missing,missing,1,42,1
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Funded Startup,2,68,1
city_78,0.579,Male,Has relevent experience,Full time course,Graduate,STEM,5,missing,missing,2,28,0
city_65,0.802,Male,Has relevent experience,Full time course,Graduate,STEM,17,500-999,missing,1,13,0
city_162,0.767,Male,No relevent experience,no_enrollment,missing,missing,3,missing,missing,never,9,0
city_74,0.579,missing,Has relevent experience,Part time course,Masters,STEM,<1,Oct-49,NGO,never,72,0
city_89,0.925,Male,No relevent experience,Full time course,Graduate,Humanities,2,missing,missing,1,68,0
city_21,0.624,missing,No relevent experience,Full time course,High School,missing,6,missing,Pvt Ltd,never,184,0
city_136,0.897,Male,Has relevent experience,no_enrollment,Phd,STEM,19,50-99,Pvt Ltd,4,314,0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,1000-4999,Pvt Ltd,2,138,1
city_103,0.72075121,Male,No relevent experience,Full time course,Graduate,STEM,8,missing,missing,1,98.4608566,1
city_21,0.533725162,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,1,54.10524416,1
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,70,0
city_103,0.917853198,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,missing,missing,1,166.2596583,1
city_77,0.83,Male,No relevent experience,Full time course,Primary School,missing,8,missing,Pvt Ltd,never,10,0
city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Funded Startup,1,100,0
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,15,missing,missing,2,87,0
city_103,0.925057211,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,missing,missing,1,28.48589536,1
city_141,0.763,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,<10,Funded Startup,1,86,0
city_21,0.547183695,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,missing,Pvt Ltd,1,36.70108854,1
city_10,0.895,Male,Has relevent experience,Part time course,Graduate,STEM,12,Oct-49,Pvt Ltd,1,12,0
city_136,0.897,missing,No relevent experience,Full time course,High School,missing,5,missing,missing,never,18,0
city_103,0.92,Male,Has relevent experience,no_enrollment,High School,missing,>20,1000-4999,Pvt Ltd,2,182,0
city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,1,10000+,Pvt Ltd,1,42,0
city_103,0.92,missing,Has relevent experience,Full time course,Graduate,STEM,16,50-99,missing,2,23,1
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,10000+,Pvt Ltd,2,23,0
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,Oct-49,Pvt Ltd,>4,15,0
city_103,0.898181374,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,missing,missing,1,33.98505317,1
city_21,0.624,missing,Has relevent experience,Full time course,Graduate,STEM,1,50-99,Pvt Ltd,1,9.594815809,1
city_21,0.624,missing,Has relevent experience,no_enrollment,Graduate,STEM,3,missing,missing,never,85.05295548,1
city_21,0.635394161,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,10000+,Pvt Ltd,1,11.13941606,1
city_21,0.724601791,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1,29.55789164,1
city_91,0.691,Male,No relevent experience,no_enrollment,Masters,STEM,10,10000+,Pvt Ltd,2,86,0
city_21,0.624,missing,Has relevent experience,no_enrollment,Masters,STEM,2,500-999,Pvt Ltd,2,46.06705295,1
city_90,0.756307335,missing,Has relevent experience,no_enrollment,Graduate,STEM,18,missing,missing,1,104.3832761,1
city_75,0.939,Other,Has relevent experience,no_enrollment,Graduate,STEM,13,<10,Early Stage Startup,1,37,0
city_21,0.624,Male,No relevent experience,Part time course,Graduate,STEM,4,Oct-49,Funded Startup,missing,112,0
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,100-500,Pvt Ltd,1,156,0
city_136,0.897,missing,No relevent experience,Full time course,Masters,STEM,7,missing,Pvt Ltd,1,30,0
city_109,0.701,missing,Has relevent experience,Full time course,Graduate,STEM,10,missing,missing,1,16,1
city_118,0.722,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,1,13,0
city_21,0.647350123,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,missing,1,36.52433764,1
city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,<1,missing,missing,1,15.79396984,1
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Oct-49,Funded Startup,1,94,0
city_21,0.790203038,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,missing,Pvt Ltd,1,165.6225901,1
city_50,0.896,missing,No relevent experience,no_enrollment,Graduate,STEM,>20,missing,missing,never,10,0
city_26,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,11,<10,Pvt Ltd,2,29,1
city_90,0.698,missing,Has relevent experience,no_enrollment,Masters,STEM,9,Oct-49,missing,4,86,0
city_103,0.884093261,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,missing,Pvt Ltd,>4,88.60763346,1
city_21,0.624,missing,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,1,53.10672213,1
city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,6,50-99,Pvt Ltd,3,56,1
city_103,0.692426459,Male,No relevent experience,Full time course,Graduate,STEM,4,missing,missing,1,56.09095253,1
city_74,0.579,Male,Has relevent experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,1,268,1
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,missing,missing,1,29.92201893,1
city_16,0.91,Male,No relevent experience,no_enrollment,missing,missing,3,missing,missing,never,270,0
city_21,0.592116617,Male,Has relevent experience,no_enrollment,Graduate,STEM,<1,10000+,Pvt Ltd,1,195.1821736,1
city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,50-99,Pvt Ltd,2,19,0
city_101,0.558,missing,No relevent experience,Full time course,Graduate,STEM,<1,<10,Early Stage Startup,1,53,1
city_114,0.926,Male,No relevent experience,Full time course,High School,missing,2,100-500,Pvt Ltd,2,52,0
city_21,0.688668326,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,46.79940037,1
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,4,57.23932006,1
city_21,0.624,Male,No relevent experience,Full time course,High School,missing,8,missing,missing,never,46,1
city_97,0.925,Male,No relevent experience,Full time course,Graduate,STEM,2,missing,missing,2,136,1
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,20,missing,missing,>4,104,0
city_93,0.865,Male,No relevent experience,Full time course,Masters,Business Degree,10,100-500,Pvt Ltd,>4,27,0
city_143,0.698319443,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,35.90493317,1
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,missing,missing,Pvt Ltd,1,17.90559717,1
city_10,0.895,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,Oct-49,Pvt Ltd,1,89,0
city_103,0.92,missing,No relevent experience,Full time course,Graduate,STEM,7,missing,missing,1,109.1179934,1
city_103,0.69547882,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,missing,Pvt Ltd,1,84.39161255,1
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,26,0
city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,6,100-500,NGO,1,34,1
city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,2,50-99,Funded Startup,1,84,0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,17,100-500,Pvt Ltd,1,23,0
city_21,0.624,missing,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,19.83352697,1
city_160,0.92,Male,Has relevent experience,no_enrollment,High School,missing,5,50-99,Funded Startup,1,24,0
city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,>4,43,0
city_90,0.690974348,Male,Has relevent experience,no_enrollment,Masters,STEM,1,missing,missing,1,12.1898825,1
city_67,0.855,Male,Has relevent experience,no_enrollment,High School,missing,10,<10,Pvt Ltd,1,145,0
city_103,0.882950648,missing,Has relevent experience,no_enrollment,Graduate,STEM,4,missing,missing,1,60.93920911,1
city_43,0.813700448,Male,No relevent experience,no_enrollment,Graduate,STEM,16,missing,missing,never,54.6239576,1
city_160,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,missing,Pvt Ltd,1,9,0
city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,4,missing,Pvt Ltd,never,48,1
city_160,0.92,Male,Has relevent experience,Full time course,High School,missing,5,100-500,Funded Startup,1,6,0
city_94,0.640423526,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,missing,missing,1,27.6364711,1
city_118,0.722,missing,No relevent experience,no_enrollment,Masters,STEM,12,missing,missing,>4,98,0
city_128,0.527,missing,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,4,250,1
city_55,0.739,missing,No relevent experience,no_enrollment,Graduate,STEM,9,missing,missing,missing,2,1
city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,6,50-99,Pvt Ltd,1,224.4122623,1
city_175,0.776,Female,Has relevent experience,no_enrollment,Graduate,STEM,17,missing,missing,>4,13,1
city_103,0.92,Male,No relevent experience,Full time course,High School,missing,5,missing,missing,1,106,1
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,2,36,0
city_21,0.624,missing,Has relevent experience,no_enrollment,Graduate,STEM,1,50-99,Early Stage Startup,2,78.27252098,1
city_159,0.843,Male,No relevent experience,Full time course,Graduate,No Major,<1,missing,missing,never,23,1
city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,2,missing,missing,1,18,1
city_24,0.698,missing,No relevent experience,Full time course,High School,missing,5,missing,missing,never,22,0
city_64,0.666,Male,Has relevent experience,Full time course,Graduate,STEM,14,10000+,Pvt Ltd,3,258,1
city_103,0.913543492,missing,No relevent experience,no_enrollment,Graduate,STEM,7,missing,missing,1,19.23701661,1
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,42,0
city_160,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,18,50-99,Pvt Ltd,4,109,0
city_21,0.775215161,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,missing,missing,1,59.0986825,1
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Public Sector,3,6,1
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,61.03550128,1
city_159,0.843,missing,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Funded Startup,4,134,1
city_114,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,13,missing,missing,3,11,0
city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,4,15,0
city_90,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,missing,missing,1,180,1
city_103,0.851460424,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,missing,missing,1,12.0961229,1
city_11,0.55,Male,No relevent experience,Full time course,High School,missing,2,missing,missing,1,10,0
city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,6,Oct-49,Early Stage Startup,1,83,0
city_103,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,>20,missing,missing,1,37,0
city_16,0.91,Male,Has relevent experience,Part time course,High School,missing,14,missing,missing,1,15,1
city_115,0.789,Male,No relevent experience,Full time course,Graduate,STEM,1,100-500,NGO,1,35,0
city_89,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,1,108,0
city_21,0.913643803,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,Oct-49,Pvt Ltd,missing,43.89049184,1
city_104,0.924,Male,Has relevent experience,Part time course,Graduate,STEM,>20,5000-9999,Pvt Ltd,1,77,0
city_67,0.855,Male,No relevent experience,Part time course,High School,missing,4,50-99,Pvt Ltd,2,96,0
city_41,0.827,missing,Has relevent experience,no_enrollment,Graduate,STEM,13,100-500,Pvt Ltd,1,52,0
city_73,0.754,Male,No relevent experience,no_enrollment,Graduate,STEM,6,missing,missing,never,134,1
city_114,0.926,Male,Has relevent experience,Full time course,Masters,STEM,13,Oct-49,Public Sector,2,80,0
city_103,0.92,missing,No relevent experience,no_enrollment,Masters,STEM,missing,10000+,missing,missing,103,0
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,Pvt Ltd,>4,27,0
city_103,0.733620517,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,missing,Pvt Ltd,1,57.37696502,1
city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,13,0
city_103,0.743304074,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,missing,missing,1,27.67294234,1
city_71,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,19,Oct-49,Pvt Ltd,2,167,0
city_16,0.91,Female,No relevent experience,Full time course,Graduate,Other,5,Oct-49,Pvt Ltd,1,127,0
city_21,0.624,missing,Has relevent experience,no_enrollment,Graduate,STEM,3,1000-4999,Pvt Ltd,2,86,0
city_11,0.55,missing,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,2,57,1
city_97,0.925,missing,Has relevent experience,no_enrollment,Masters,STEM,13,1000-4999,missing,1,39,0
city_16,0.91,Male,No relevent experience,Full time course,Primary School,missing,1,missing,missing,never,7,0
city_21,0.755592102,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,10,missing,missing,never,28.73631594,1
city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,12,1000-4999,Pvt Ltd,>4,50,0
city_102,0.804,Male,No relevent experience,Full time course,High School,missing,3,missing,missing,never,32,0
city_21,0.681394701,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Pvt Ltd,1,20.84644502,1
city_104,0.924,Male,No relevent experience,Part time course,High School,missing,3,50-99,Funded Startup,1,22,0
city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,15,500-999,Pvt Ltd,2,50,0
city_114,0.894841236,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,missing,missing,1,28.36306837,1
city_100,0.887,Male,Has relevent experience,no_enrollment,High School,missing,2,50-99,Public Sector,1,82,0
city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,5000-9999,Pvt Ltd,>4,51,0
city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,>4,17,0
city_90,0.698,Female,No relevent experience,Full time course,Graduate,STEM,2,missing,Pvt Ltd,never,42,0
city_11,0.55,Male,No relevent experience,Full time course,Graduate,Humanities,<1,missing,missing,never,43,0
city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,9,missing,missing,never,97.39385819,1
city_103,0.92,Male,No relevent experience,no_enrollment,missing,missing,4,missing,missing,never,190,0
city_21,0.633047858,missing,Has relevent experience,no_enrollment,Graduate,STEM,3,<10,Pvt Ltd,missing,17.10041517,1
city_90,0.666282197,missing,Has relevent experience,no_enrollment,Graduate,STEM,10,missing,Pvt Ltd,1,44.42886851,1
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,<10,Pvt Ltd,1,38.77921255,1
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,>4,15,0
city_150,0.698,missing,Has relevent experience,no_enrollment,missing,missing,>20,missing,missing,1,83,1
city_19,0.682,Male,Has relevent experience,no_enrollment,High School,missing,7,1000-4999,Pvt Ltd,1,28,0
city_160,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,4,missing,missing,1,61.92590064,1
city_114,0.926,missing,Has relevent experience,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,1,138,0
city_162,0.767,Male,No relevent experience,Full time course,Graduate,STEM,5,missing,missing,1,17,1
city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,3,23,0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,1,57,0
city_21,0.624,Male,No relevent experience,Full time course,High School,missing,7,missing,missing,1,38,1
city_50,0.896,Male,No relevent experience,Full time course,High School,missing,4,missing,missing,never,89,0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,100-500,NGO,1,21,0
city_80,0.847,missing,Has relevent experience,no_enrollment,missing,missing,>20,500-999,missing,never,96,0
city_77,0.83,Male,Has relevent experience,Full time course,Graduate,STEM,14,100-500,Pvt Ltd,1,136,0
city_46,0.762,Male,Has relevent experience,no_enrollment,Masters,STEM,11,missing,missing,1,6,1
city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Public Sector,2,45,0
city_21,0.744271168,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,missing,Pvt Ltd,1,41.74713952,1
city_173,0.878,missing,Has relevent experience,no_enrollment,High School,missing,6,missing,missing,1,85,0
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,missing,missing,>4,29,0
city_115,0.789,Male,Has relevent experience,no_enrollment,High School,missing,15,<10,Pvt Ltd,1,6,0
city_21,0.806969724,Male,No relevent experience,Full time course,Graduate,STEM,3,missing,missing,1,47.34602658,1
city_160,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,10,100-500,Pvt Ltd,3,75,0
city_136,0.897,missing,Has relevent experience,no_enrollment,Masters,STEM,10,missing,missing,1,106,0
city_104,0.924,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,37,0
city_103,0.729542367,Male,No relevent experience,Full time course,Graduate,STEM,9,missing,missing,never,41.06949205,1
city_104,0.839716856,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,missing,missing,1,14.77359235,1
city_46,0.762,Male,Has relevent experience,Part time course,Graduate,STEM,9,100-500,Pvt Ltd,1,3,0
city_74,0.657131473,Male,No relevent experience,Part time course,Graduate,STEM,3,missing,missing,never,21.92274346,1
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,5000-9999,Pvt Ltd,1,17.65214559,1
city_103,0.84349686,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,missing,missing,1,92.9540209,1
city_71,0.777070541,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,missing,missing,>4,62.39852311,1
city_98,0.949,Male,No relevent experience,no_enrollment,Graduate,STEM,3,<10,Funded Startup,>4,43,0
city_104,0.924,missing,Has relevent experience,no_enrollment,High School,missing,>20,10000+,Pvt Ltd,4,23,0
city_143,0.74,missing,No relevent experience,no_enrollment,Graduate,STEM,3,missing,missing,missing,46,1
city_21,0.869969111,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,1,66.20203657,1
city_21,0.698,Male,No relevent experience,Full time course,Graduate,STEM,4,missing,missing,1,142.4827801,1
city_160,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,1,258,1
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,missing,Funded Startup,2,72.90161684,1
city_105,0.794,Male,No relevent experience,no_enrollment,Graduate,Humanities,5,10000+,Pvt Ltd,>4,26,0
city_160,0.92,missing,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Other,1,63,0
city_160,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,5,1000-4999,Public Sector,2,40,0
city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,4,missing,missing,1,150,1
city_21,0.760338263,missing,Has relevent experience,Full time course,Graduate,STEM,10,missing,Pvt Ltd,2,31.57620575,1
city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,>4,22,0
